,Unnamed: 0,devices_1.0GB,avg_u_mbps_1.0GB,avg_d_mbps_1.0GB,throughput_1.0GB,propagation_delay_1.0GB,system_upload_time_1.0GB,upload_time_1000_1.0GB,upload_time_500_1.0GB,upload_time_250_1.0GB,devices_10.0GB,avg_u_mbps_10.0GB,avg_d_mbps_10.0GB,throughput_10.0GB,propagation_delay_10.0GB,system_upload_time_10.0GB,upload_time_1000_10.0GB,upload_time_500_10.0GB,upload_time_250_10.0GB,devices_100.0GB,avg_u_mbps_100.0GB,avg_d_mbps_100.0GB,throughput_100.0GB,propagation_delay_100.0GB,system_upload_time_100.0GB,upload_time_1000_100.0GB,upload_time_500_100.0GB,upload_time_250_100.0GB,devices_200.0GB,avg_u_mbps_200.0GB,avg_d_mbps_200.0GB,throughput_200.0GB,propagation_delay_200.0GB,system_upload_time_200.0GB,upload_time_1000_200.0GB,upload_time_500_200.0GB,upload_time_250_200.0GB,Unnamed: 0.1,index,propagation_delay
count,51710.0,51490.0,51490.0,51490.0,51490.0,51490.0,51490.0,51490.0,51490.0,51490.0,51457.0,51457.0,51457.0,51457.0,51457.0,51457.0,51457.0,51457.0,51457.0,51428.0,51428.0,51428.0,51428.0,51428.0,51428.0,51428.0,51428.0,51428.0,51371.0,51371.0,51371.0,51371.0,51371.0,51371.0,51371.0,51371.0,51371.0,19000.0,0.0,0.0
mean,3477.7643589247728,5.189337735482618,30.582021305107567,83.76317277141263,6269.933974728487,0.0032275712227906594,48.20888554472216,101.1926710687869,101.1910044021366,101.19017106888109,47.43103950871602,302.5497416483676,797.2464183881585,38587.18619432068,0.05487008657385734,51.71448561969779,1007.4343728411667,1007.4327061743674,1007.4318728413982,470.3792681029789,2868.243651921146,7278.226830131471,275775.6182912339,1.2044309871484906,53.23025151038072,10070.382601433364,10070.380934768114,10070.380101435532,939.8505577076561,5636.944678009058,14124.836420256594,498429.07057810336,3.0865573287316463,55.15971420114697,20139.853891037925,20139.852224372764,20139.851391068878,19697118.14194737,,
std,3621.0415647500918,2.001044350538656,24.87089950415407,59.84129069242414,24223.203723709885,0.006111782270796004,3.7241530993843317,2.0010443505369926,2.001044350537253,2.001044350537091,2.1167969032647775,124.53604003954545,276.1574282752668,61483.414515587836,0.06759980662126233,1.4685795582089578,2.116796903265302,2.1167969032652665,2.1167969032652656,3.815410914422266,771.0444124933045,1618.0629118785992,195185.47137502916,1.0198190392440238,1.1226670370016087,3.8154109144229595,3.8154109144242674,3.81541091442367,4.657708891962828,1347.2493766251266,2698.7827225459228,302129.03489057,2.3678169583940445,2.402711131381704,4.657708891964303,4.657708891965256,4.657708891963912,11437789.676016206,,
min,0.0,5.0,0.243,1.357,40.56332162219437,0.0,2.951219512195122,101.003333333333,101.00166666666668,101.000833333333,47.0,27.689,61.521,810.4826900909062,0.0,13.698412698412698,1007.00333333333,1007.0016666666668,1007.00083333333,469.0,724.1929999999999,1774.47,12016.483119979612,0.0,37.97996918335902,10069.0033333333,10069.001666666669,10069.0008333333,938.0,1591.271000000001,4687.834,30774.44577475885,0.0,42.425517648682586,20138.0033333333,20138.001666666667,20138.0008333333,0.0,,
25%,955.25,5.0,12.47625,43.66374999999999,416.11585335768467,0.000698929773719325,49.00057319773255,101.00333333333332,101.00166666666668,101.00083333333332,47.0,209.719,608.9449999999999,8032.231542571841,0.0201479554308909,52.07773913308628,1007.0033333333332,1007.0016666666668,1007.0008333333334,469.0,2301.8675,6226.529250000004,129135.56911798778,0.5884874360948842,52.653146956183065,10069.003333333334,10069.001666666669,10069.000833333334,938.0,4646.4220000000005,12392.861000000008,271210.8907760361,1.59979851780942,53.67960609759274,20138.00333333333,20138.001666666667,20138.00083333333,9817641.5,,
50%,2372.0,5.0,24.1435,72.4555,1016.0494973442056,0.0016346274612106999,49.00151008759971,101.00333333333332,101.00166666666668,101.00083333333332,47.0,285.86999999999995,770.187,16545.310784883597,0.0363994694944248,52.095243939750965,1007.0033333333332,1007.0016666666668,1007.0008333333334,469.0,2795.4230000000007,7171.951499999999,223599.7053323575,0.9508936055539532,53.03456717382404,10069.003333333334,10069.001666666669,10069.000833333334,938.0,5516.288000000002,13979.454,437747.5707846681,2.511767190050133,54.5886295697226,20138.00333333333,20138.001666666667,20138.00083333333,19718320.0,,
75%,3847.0,5.0,42.25375,110.87674999999999,2940.0528833202006,0.003447543356983225,49.00326704781787,101.00333333333332,101.00166666666668,101.00083333333332,47.0,380.337,952.107,39250.64955953504,0.0631249085206797,52.12134522459632,1007.0033333333332,1007.00166666667,1007.0008333333334,470.0,3360.12075,8207.01025,377743.8498572042,1.4652532740895294,53.56953370492242,10070.003333333334,10070.001666666669,10070.000833333334,940.0,6508.685000000001,15678.9465,664540.6103755413,3.777107244054199,55.87576526950551,20140.0033333333,20140.001666666667,20140.0008333333,29534339.5,,
max,14999.0,123.0,547.937,1931.82,512331.9334941468,0.207132951838754,49.18273682079281,219.00333333333333,219.0016666666667,219.00083333333333,189.0,1580.011,4402.796,733630.7112056589,1.1989098552379405,53.26273964247199,1149.003333333333,1149.0016666666666,1149.0008333333335,649.0,7455.898000000001,18552.175,1728705.9060357166,12.273551920922644,64.2103784809279,10249.003333333334,10249.001666666669,10249.000833333334,1165.0,13935.037000000011,38713.212000000014,2447664.576078236,24.10219830091073,76.27490619003652,20365.00333333333,20365.001666666667,20365.00083333333,41322164.0,,
